category	publication	fraction
Biological Sciences	original	0.6316
Biomedical and Clinical Sciences	original	0.1449
Information and Computing Sciences	original	0.1074
Agricultural, Veterinary and Food Sciences	original	0.0206
Chemical Sciences	original	0.0199
Environmental Sciences	original	0.0147
Health Sciences	original	0.0118
Engineering	original	0.0107
Physical Sciences	original	0.0070
Mathematical Sciences	original	0.0066
Earth Sciences	original	0.0063
Psychology	original	0.0055
Human Society	original	0.0033
Built Environment and Design	original	0.0026
History, Heritage and Archaeology	original	0.0026
Commerce, Management, Tourism and Services	original	0.0015
Creative Arts and Writing	original	0.0015
Economics	original	0.0007
Education	original	0.0004
Law and Legal Studies	original	0.0004
Philosophy and Religious Studies	original	0.0004
Biological Sciences	rolling	0.6286999999999999
Biomedical and Clinical Sciences	rolling	0.1402
Information and Computing Sciences	rolling	0.0795
Chemical Sciences	rolling	0.032
Health Sciences	rolling	0.0254
Engineering	rolling	0.0197
Environmental Sciences	rolling	0.0148
Agricultural, Veterinary and Food Sciences	rolling	0.0123
Physical Sciences	rolling	0.0123
Mathematical Sciences	rolling	0.010700000000000001
Psychology	rolling	0.0074
Earth Sciences	rolling	0.0066
Built Environment and Design	rolling	0.0033
Economics	rolling	0.0033
Commerce, Management, Tourism and Services	rolling	0.0016
History, Heritage and Archaeology	rolling	0.0008
Human Society	rolling	0.0008
Philosophy and Religious Studies	rolling	0.0008
